44859|Earth Observation|Infrared Imaging|Commercial|Hera Systems|22|PSLV|Pathfinder for planned earth observation constellation.
55107|Earth Observation|Automatic Identification System (AIS)|Commercial|AAC Clyde Space|4|Falcon 9|Provide AIS information to Orbcomm.
42775|Technology Development||Civil|Aalto University|4.5|PSLV|Technology development and education.
41460|Earth Observation|Automatic Identification System (AIS)|Civil|University of Aalborg|1|Soyuz-2.1a|Carries AIS system.
39508|Communications||Commercial|Asia Broadcast Satellite Ltd.|6330|Ariane 5 ECA|32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.
41588|Communications||Commercial|Asia Broadcast Satellite Ltd.|1800|Falcon 9|
40424|Communications||Commercial|Asia Broadcast Satellite Ltd.|2000|Falcon 9|Coverage of Americas Europe and Africa.
28184|Communications||Commercial|Asia Broadcast Satellite Ltd.|4143|Atlas 3|Purchased by ABS in 2013.
25924|Communications||Commercial|Asia Broadcast Satellite Ltd.|2894|Proton|28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.
47937|Technology Development||Government|Asher Space Research Institute at Technion/Israeli Aircraft Industries|9|Soyuz-2.1a|Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
47939|Technology Development||Government|Asher Space Research Institute at Technion/Israeli Aircraft Industries|9|Soyuz-2.1a|Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
47943|Technology Development||Government|Asher Space Research Institute at Technion/Israeli Aircraft Industries|9|Soyuz-2.1a|Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
56187|Earth Science||Civil|Austrian Space Forum (OEWF)/Spire|11.5|Falcon 9|Orbital debris monitoring/study clouds and aerosols in atmosphere
47237|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5400|Delta 4 Heavy|ELINT.
25336|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5200|Titan IVA|ELINT.
27937|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5200|Titan IV|Electronic intelligence (ELINT).
33490|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5400|Delta 4 Heavy|ELINT.
37232|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5000|Delta 4 Heavy|ELINT.
38528|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5000|Delta 4 Heavy|ELINT.
41584|Earth Observation|Electronic Intelligence|Military|National Reconnaissance Office (NRO)|5000|Delta 4 Heavy|ELINT.
39256|Communications||Military|US Air Force|6169|Atlas 5|Third in constellation.
43651|Communications||Military|US Air Force|6169|Atlas 5|
44481|Communications||Military|US Air Force|6169|Atlas 5|
45465|Communications||Military|US Air Force|6169|Atlas 5|
38254|Communications||Military|US Air Force|6169|Atlas 5|Second in constellation.
38760|Technology Development||Government|Department of Homeland Security|3|Atlas 5|Demonstration program to track cargo containers worldwide.
43600|Earth Observation|Earth Science|Government|European Space Agency (ESA)|1367|Vega|Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.
43861|Technology Development||Commercial|Aerospace Corporation|4|Electron|Will test miniaturized imagers.
43849|Technology Development||Commercial|Aerospace Corporation|4|Electron|Will test miniaturized imagers.
43556|Technology Development||Commercial|Aerospace Corporation|4|Nanorack Deployer|
43557|Technology Development||Commercial|Aerospace Corporation|4|Nanorack Deployer|
45114|Technology Development||Military|Aerospace Corporation||Nanorack Deployer|Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.
45116|Technology Development||Military|Aerospace Corporation||Nanorack Deployer|Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.
45117|Technology Development||Military|Aerospace Corporation||Nanorack Deployer|Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.
